id,text,domain,category,FinalOff,FinalCB
 text,domain,category,FinalOff,FinalCB
 ليش فرنسا فارده عضلاتها من الي تري حتي الاملاءات من فرنسا غير مرغوبه وفرنسا تاريخه في المنطقه قذر,News,Sexual,yes,yes
 في شرق يوجد مجرم احمق اسمه وفي الغرب يوجد حفتر,News,Intelligence,yes,yes
 حساب ايدي كوهين الي كل حر عربي الغاء متابعه,News,Racial,no,no
 الفلسطينيون سيحملون مشاعر صادقه بالحزن والدعاء المستمر لروح فقد كانت اخر مواقف بلاده معهم ان والاعتراف بدوله حق فلسطيني واجب كويتي خليجي عربي مسلم يا لحسن الخاتمه 💔,News,Racial,no,no
 غمض عين فتح عين بيجي تشرين وبيجي تاريخ شو نزلنا شو طلعنا شو عملنا شو طلعلنا وين كنا وين صرنا عفوي والدليل مطالبنا طاروا مصرياتنا طاروا صحتنا طارت اعصابنا طارت اشغالنا طاروا كرامتنا انسانيتنا حقوقنا امنا الناس الي منحبا وفوق الدكه شرطوطه ياعفاف يانضاف,News,Appearance,no,no
 سفله العراق مرتزقه ايران جعلو من بغداد الحبيبه ساحه لحروب والدماء والفساد,News,Sexual,yes,yes
 الهلال محتاج قرايه ياجماعه الخير الي يحصل غير طبيعي اله يحفظ من عين,Sports,Appearance,no,no
 انا لقد بعتم عقاءدكم واصبحتم اتباع لشيطان هو اخرس لعنكم اله اتباع اليهود الشيطان 😳,News,Appearance,yes,yes
 سلم علي جنود الست تبعون امك الحجه بطريقك عين الحلوه,News,Appearance,yes,yes
 راءده العالم بدور الدعاره ويحظي المثلين والشواذ في عهد الرءيس الحالي باكبر قدر من التمكين وهي الداعم الاكبر لهم,News,Sexual,yes,yes
 ايها الملعين علي وجه الكره الارضيه احقر من الحقاره يا اوسخ من الوسخه نفسها خط احمر يا زباله الكره الارضيه حسبي اله ونعم الوكيل فيكم يا شويه كلاب ضاله يا خنزير يا خوانه الوطن,News,Appearance,yes,yes
 كنت ناطره شوف كيف الدباجه بدها تحبك ونخير بين الفساد والفشل والكذب والرياء والبطش وبين الكيان والوجود والعدو الصهيوني,News,Intelligence,yes,yes
 الصوره فيها تعليقات من فلسطينين لا يمثلون حتي انفسهم لكن تحت تغريدتك لاسف عشرات الالاف من التغريدات العنصريه الحاقده علي فلسطين واهلها عاشت فلسطين وعاشت الكويت,News,Racial,no,no
 قتلي جراء اطلاق نار بجنوب شرق مدينه سايلم في ولايه اوريغون خلال استجابه الشرطه لواقعه احتجاز رهاءن 🔴 🟡 لاشتراك في قناتنا علي تليغرام,News,Racial,no,no
 بعد حادثه اطلاق نار اودت بحياه ابنه ال في ابي سمراء كشف ملابسات الجريمه,News,Racial,no,no
 الساده والسيدات ولكل منتمي الي من فضلكم ولو سمحتوا افرحوا بهدوء ولا تنخدعوا بالجعجعات الاعلاميه نعم الاعلام يوثق الحدث ولكنه لا يصنع مجدا نصف النهاءي لا يختلف عن دوري المجموعات بل حتي النهاءي يماثلهم حين لا تحق شيء لا تعجلوا كوني مثلي بجمره الصبر متحلين,Sports,Sexual,no,no
 داود اوغلو عزله في ازمه دليل علي فشل حزب,News,Intelligence,no,no
 احس الي شغالين في شويه بهايم يتكلمون بما لايفقهون,News,Intelligence,yes,yes
 ماذا ينتظر لبنان بعد سقوط المبادره وهل ما ينتظر البنانيون اسوا من الذي يعيشونه في الوقت الحالي وما هي جهنم الذي تكلم عنها الرءيس عون,News,Racial,no,no
 محمد حافظ طالب بجامعه الرازي يتعرض لضرب وحلاقه راسه من عساكر بشارع عبيد ختم بسب اعتراضه علي عربه تجاوزت صف الوقود,News,Racial,no,no
 الهم انصر من نصر الاسلام والمسلمين واذل من يزعم انه ناصر لمسلمين وخيب سعيه,News,Racial,no,no
 الاداره الذاتيه لشمالي شرقي سوريا تعلن تسجيل اصابه جديده بفيروس كورونا في مناطق سيطرتها,News,Racial,no,no
 شكل عقلك في طيزك ه منذ عام مطبعه مع اسراءيل 😂,News,Appearance,yes,yes
 كل هالشتاكات ورجعو لنفس الطاسه ونفس الحمام خايف لا احنه هم نرجع علي عادل عبد المهدي,Celebrities,Racial,no,no
 من المعروف ان الصامت هو من يعمل ويسير في الطريق الصحيح اما الثرثار فاشل ويغطي فشله بصياحه,News,Intelligence,yes,no
 هي ليه الناس تحس انها قاعده متربصه بمصر و يقولك مصر بتدعم التطبيع احنا مالنا يا حمير,News,Intelligence,yes,yes
 وزير الاوقاف وشءون المقدسات الاسلاميه فتح المساجد اعتبارا من فجر يوم غد الخميس اغلاق المساجد التي تقع ضمن المناطق التي تزيد فيها الاصابات,News,Racial,no,no
 يوم مجنون في انجلترا 🔥 يعود بعد خساره الشوط الاول بثلاثيه علي لامبارد ان يراجع حساباته الدوري الانجليزي صعب هذا العام 🔥 اي صح اذا قريت هذه التغريده ضيفني صفحه جديده واحتاج دعمكم 😁,Sports,Intelligence,no,no
 شكلها اصلا جس نبض لشارع العربي الرفض الشعبي المطلق والصريح من المكن ان يقف حاجزا امام تطبيع باقي الدول,News,Appearance,no,no
 واضحه مقصود ابعاد ريكي من النصابين فتره انتقاليه صعبه مع خزينه خاليه من الاموال ما اقول الا كلمه اله يلعن الشيبان والعجاءز والحمير الذين اعادوا انتخابك يا ساقط,Sports,Racial,yes,yes
 علموا اولادكم ان فلسطين ارض عربيه اسلاميه اغتصبها الصهاينه في غفله من المسلمين وانها امانه في رقبه كل مسلم,News,Sexual,yes,yes
 تعرض شباب سورين يعملون في ورشه خياطه بولايه لسب و الشتم من تركي يعمل معهم بنفس الورشه اشتكي السوريون لرب العمل عندما خرجوا وجودوا بانتظارهم مجموعه كبيره من الاتراك قاموا بالهجوم عليهم اصيب السورين بطعنات وبعضهم كسر انفه وقدمه,News,Racial,no,no
 لانه داعسين علي ذنبك يا متحرش و عم نسمع صراخك اذن الرءساء الاربعه علي حق,News,Sexual,yes,yes
 انت عربي يجي ابن كلب يحتل ارضك ويقتل شعبك ويشترط عليك ان يمكن يوقف يسرق ارضك في حال تم تمجيده في اعلامك,News,Racial,yes,no
 خواني واهلي اهل الامارات لا تكون اهبل بالزفه بعيد عن وضع السياسي والاقليمي كن صاحب مبدا وقيم ان ذهب الدين اين المروءه احترم شعوب العربيه واحتراما لشهداء,News,Intelligence,yes,no
 صياح اجنبي,Gaming,Racial,no,no
 قلو يا فرعون مين فرعنك قال تفرعنت وما لقيت حدا يردني 👀 انو اسلوبه مقرف جدا هي البلاوي دي بتحدف علينا من اني ناحيه,News,Appearance,yes,yes
 اعاده فتح المساجد ابتداء من صلاه فجر غد الخميس,News,Racial,no,no
 🇰 🇼 وجه خادم الحرمين الشريفين الملك حفظه اله باقامه صلاه الميت الغاءب علي اخيه الراحل الشيخ رحمه اله بعد صلاه العشاء ب الحرمين الشريفين,News,Racial,no,no
 وداعا دكتور رافت عبدالعزيز ودع اليوم زملاء الدكتور رافت الذي اتي الي بلده الثاني مهاجرا من فلسطين الحبيبه وافني حياته في هذا القطاع الانساني توفي الدكتور نتيجه فايروس كورنا رحمه اله وغفر له بالمستشفي المركزي التعليمي,News,Racial,no,no
 تركيا ليس علي حدود مع فلسطين وتركيا لم تهنء احد بل مصر والامارات والبحرين وباقي الدول الا من رحمه ربي وقول الحق واجب علي كل مسلم والجهاد في سبيل اله واجب القدس قضيه المسلمين والقدس تحت سياده اسلاميه شاء من شاء وابي من ابي ولكل مسلم حريه الصلاه في المسجد الاقصي,News,Racial,no,no
 دانا الحلبي الرجال كذابون هل ردت علي عبد المنعم عمايري,Celebrities,Racial,yes,yes
 انتم حمير تشربون حليب الحمير اقتصادكم في الحطيط وعملتكم تستمر في الحطيط دام يلعب فيها لن تنجو,News,Intelligence,yes,yes
 صلاح الدين مقتل العميد معتصم القيسي امر فوج في بيجي بصلاح الدين جراء استهدافه بتفجير عبوه ناسفه كما قتل ضابط اخر برتبه نقيب كان برفقته واصابه اخرين لاحول ولاقوه الا باله,News,Racial,no,no
 يكافح مقدمي الرعايه الصحيه في مصر جاءحه كوفيد وتقوم لرعايه الصحيه بالمساعده عبر متجر الخدمات الالكتروني الخاص لدعمهم حيث يمكنهم شراء قطع الغيار والاكسوارات الازمه بكل امان وسلاسه لمزيد,News,Racial,no,no
 حمداله مرابط مارتينز مايكون جونز الكوري صانع لعب اتمني اجانب الموسم القادم,Sports,Racial,no,no
 حاجه مزعلاني جدا ان حرفيا لعبه وعجينه في ايد اخربو بلدكم حاضر يا معلم حاربو في ليبا عينيا ياسيد الناس عندنا طالعه في ارمنيا انت تامر يا كبير القرود بجد مفيش اوسخ ولا اقزر منكم ولا من الي بتعملوه في حق بلدكم وفي حق نفسكم ان خروف مشيكم يا شويه بقر,News,Appearance,yes,yes
 افهم يا غبي,News,Intelligence,yes,yes
 هدي الاتربي وسيرين عبد النور و روجينا و ياسمين صبري وستيفاني صليبا هن احلي اطلاله بالمهرجان,Celebrities,Racial,no,no
 انا تعبت من العبيد ذولي,Gaming,Racial,yes,yes
 التحكم المروري قطع السير علي تقاطع في بالاتجاهين,Celebrities,Racial,no,no
 ارقام صادمه امراه من كل نساء في تعرضت لتحرش جنسي مره واحده علي الاقل,News,Sexual,no,no
 جنون السلطه اليوم في طرابلس قوي الامن تطلق النار بالمباشر علي الناس وعلي مراسل صفحه طرابلس عاصمه الشمال,Celebrities,Intelligence,no,no
 جريح باطلاق نار علي فان لنقل الركاب في بعلبك,News,Racial,no,no
 تركياوقعت اتفاقيه جديده مع ليبيا لمنع الاسطول الامريكي حاملتي طاءرات لتامين شركه من سرقهثروات ليبيا بجرفهالقاري بعون اله المسلمه قرت كسر هيبه وذلك بمنعها من تنفيذ ماوقعته مع فرنساواليونان الامه علي موعد مع فجر عظيم قادم هذا ماذكرته,News,Racial,no,no
 علينا الان في زمن اختلال المفاهيم والاشياء ان نعتذر لاي قبر تبولت كلاب النظام الباءد علي شاهده,News,Appearance,yes,yes
 يحتاج تغير اليوم خربين بكره سيبا وقوميز و وجه نظري ماينفع خاصه انه توجه لدراما ويتاثر بالضغط اذا الجمهور تعود ع اجانب مثل سيبا وقوميز وغيرهم ماراح يرضون بخربين بيعه لفريق يشوف نفسه معه وانتهينا,Sports,Racial,no,no
 ولاده ام من جديد تحدت المستحيل ضد توحد ابنها وفي قرت احياء التراث عبر ازياء تجمع بين العراقه والموضه ضيفتا حلقه هذا الاسبوع من السيده المصريه امل جلال والاردنيه انتصار عبده,News,Racial,no,no
 رساله الي احفاد القرده والخنازير بليز طلعو من فلسطين,News,Appearance,yes,yes
 بصراحه مءيدين و شويه معرصين وبهايم يا ولاد الوسخه الرءيس في بلاد العالم المتحضر بيخلص دوره ويمشي ومالوش اي لازمه ولا حد يعرف عنه حاجه يلعن ابو غباءكم,News,Racial,yes,yes
 المتحدث باسم نادي القضاه نقود مع رجال الجيش والشرطه الملحمه الانتخابيه بحكمه 😂 😂 😂 نسي السيسي ومستقبل وطن والامن الوطني والمخابرات وعلي عبد العال 😂 وملحمه الجونه ومجلس الشيوخ وخاذوق تيران وصنافير,Celebrities,Racial,no,no
 المشاعر الجياشه فوق فوق و الامتعاض الوطني ما بينوصف خفوها شوي جماعه لي ناطرين لتخرب اكثر و يصير فوضي اكثر,News,Sexual,no,no
 في حياه الشيخ نواف الاحمد الصباح وفي عام عين ناءبا لرءيس الحرس الوطني وفي عام تقلد منصب وزير الداخليه مره اخري وفي اكتوبر من العام ذاته صدر مرسوم اميري بتعينه ناءبا اول لرءيس مجلس الوزراء وزيرا لداخليه,News,Appearance,no,no
 الكلب داج الجميل رفيق كارل في اغرب رحله مزاجك اي داج اليوم,Celebrities,Appearance,yes,yes
 عذرا فلسطين فلم يعد لك الا اله وقليل من العرب,News,Racial,no,no
 كريم بنزيما يفشل في قتل المباراه شكرا عصام الشوالي و منك له يا زين الدين زيدان 😤,Sports,Racial,no,no
 الاداره الذاتيه لشمالي شرقي سوريا تعلن تسجيل اصابه جديده بفيروس ليرتفع العد الاجمالي الي اصابه بالاضافه الي تسجيل حالتي وفاه ليرتفع اجمالي الوفياه الي,News,Racial,no,no
 واحد نصاب والثاني مجنون,Celebrities,Intelligence,yes,yes
 🔴 مراسل صفا اندلاع مواجهات بين قوات الاحتلال والشبان في حي عبيد بقريه العيسويه بالقدس المحتله,News,Racial,no,no
 القضيه الفلسطينيه ليست مجرد قضيه سياسيه او قضيه دوله و ابناءها انما هي قضيه اسلاميه بحته وتخص كل مسلم,News,Racial,no,no
 ناقصنا واحد ارينا ابك ابو عرب الفضل,Gaming,Racial,no,no
 وزير يزور مقر استديوهات قناه عين لاطلاع علي سير العمل في القناه ويتابع تسجيل الدروس الجدير بالذكر ان الوزاره تسجل من خلال القناه دروس المراحل الثلاث بالاضافه لدروس التحفيظ والتعليم المستمر الكبار والتربيه الخاصه,News,Appearance,no,no
 مجازر عربيه بحق اليهود لمشاهده الحلقه كامله,News,Racial,no,no
 سكاي نيوز عربيه عالمه صينيه تفجر مفاجاه بشان مصدر عبر تطبيق نبض,Sports,Racial,no,no
 جهازكم ابو كلب ويضحكون عليكم تعالو معنا 😂 😂 😂 وربي حقين سوني منتو صاحين,Gaming,Appearance,yes,yes
 هذا بوق ارهابي و عميل خارجي و خاءن لوطنه غر بكثر من ابناء وطني و زج بهم في صرعات طاءفيه نشر القتل,News,Racial,yes,yes
 يضحكني ما يحدث و كميه التغريدات المليونيه المءيده والمعارضه لتطبيع عند العرب راي الشعوب غير مهمه بتاتا,News,Racial,no,no
 ياشعب اعزلوا ترا بدات العالم تكرهكم بسبته القذر اسقطوا ياشعب,News,Sexual,yes,yes
 ديباي الي برشلونه صفقه ناجحه ام فاشله اذا نظرت الي المعطيات تجد ان برشلونه ذهب الي ديباي بسب سعر لاتارو الذي لا,Sports,Intelligence,no,no
 سنه مش وحشه هي بس الوسخات الي عملناها طول السنين الي فات بنحصد نتيجتها دلوقتي بس كده 🤷 🏻 ‍ ♀ ️,News,Appearance,yes,no
 ريكورد فايز بعدين يجيني تافه يقولي حدك فوز ما تجيب اكثر اتفضل يا حمار,Gaming,Intelligence,yes,yes
 بتعاقده مع روبين دياز اصبح انفاق بيب غوارديولا علي لاعبي الدفاع فقط في اكثر من مليون باوند ‼ ️ 🛑 مثلا لو فشل بيب بالفوز بالدوري والابطال لموسم اخر هل ستم اقالته,Sports,Intelligence,no,no
 صحيفه الاقتصاديه خادم الحرمين يوجه باقامه صلاه الميت الغاءب علي الشيخ صباح الاحمد في الحرمين الشريفين بعد صلاه العشاء عبر تطبيق نبض,News,Racial,no,no
 شكلنا رح نرجع نسمع التصاريح المفيده والبليغه واجيال بدها تربي من وراكن كلكن يا قليلين الضمير,News,Appearance,no,no
 ه هازارد اصيب يا حياتي قسم يرحم بديت احس انه فيه سحر او عين,Sports,Appearance,no,no
 نادي يعلن عوده الفرنسي غوميز والايطالي جيوفينكو والثلاثي السعودي عبد اله الحافظ وسالم الدوسري وعبد اله الجدعاني الي بعد تعافيهم من فيروس كورونا,Sports,Racial,no,no
 اله يفتح قبرك انت ومن ذكرت ويخلص هالامه منكم يا صهاينه العرب,News,Racial,yes,yes
 تبا لسياسه التي تجعلك رخيص تخضع وترضخ لقتلت اخوانك المسلمين تبا لسياسه التي تجعلك ذليل خوار,News,Racial,yes,yes
 الاخونج كلاب قطر وتركيا وبنو ليبرال كلاب الامارات ومصر كلاهما لا تهمهم القضيه الفلسطينيه,News,Appearance,yes,yes
 خمسه سنوات علي بدايه نهايه الثوره السوريه بداتها روسيا بتدخل مباشر علي الارض وتلتها امريكا بتدخل اوسع في الجزيره العربيه وكان معها بدايه الخطوط الحمراء وانحراف مسار الفصاءل اكثر من الف مدني قضي علي يد روسيا المحتله بالاضافه الي تدمير المشافي والمدارس,News,Racial,no,no
 في المناظره يخاطب الناخب الامريكي في المناظره المهرج مرتبك ويقاطع وبهذا اثبت انه فاشل لدرجه ان المذيع قال له انت تقاطع كثير بايدن انتصر في المناظره خسر ترامب وليس لديه اي شي يقدمه لمواطن الامريكي,News,Intelligence,yes,yes
 خالص العزاء والمواساه من فلسطين لاهلنا في لن نسي مواقفك المشرفه مع كان محبا لها عوض اله الكويت بمن يحمل هموم اهلها وامتنا رحل ولم يطبع رحل حافظا لامانه رحم اله فقيدنا وفقيدكم,News,Racial,no,no
 كلب من كلاب الصهاينه زرع في مصر من احل حراسه اسراءيل وتعبيد الطريق لاحتلال مصر انظر كل مشاريعه تصب في هذا الاتجاه واولها اصول الدوله التي تباع بحجه الاستثمار,News,Appearance,yes,yes
 قال النبي صلي اله عليه وسلم ان اله ليءيد هذا الدين بالرجل الفاجر,News,Sexual,no,no
 مش شرط الناس المشوره والفنانه تكون ناس واعيه وعندها حس اخلاقي كبير لا بالعكس هما ناس منهم جزء كبير تافه جدا ونحسه وسيرتها نحس مثلا لا حس اخلاقي ولا يملك سوي النحاسه انحس خلق اله,Celebrities,Intelligence,yes,yes
 الحكومات العربيه كريمه وقنوعه جدا لدرجه التنازل عن فلسطين مقابل ان يسمح لمسلمين ان يصلو في الاقصي,News,Racial,no,yes
 غصبن عن عين اتخن تخين في العالم,News,Appearance,no,no
 الباحث عبد الستار حتيته هناك انعدام ثقه بين طرفي الازمه اليبيه وجميع القضايا الخلافيه مطروحه علي ماءده المفاوضات,News,Racial,no,no
 بعد ما عرفنا مين اغتال انطوان داغر,News,Racial,no,no
 اله يلعنك خليني انزل طيب,Gaming,Racial,yes,yes
 اتخيل حياته كامله بالون يجي كربي عربي مخنز المصاصط يشك في قدراته 😂 😂 هذا هو التمنيك بام عينه,Sports,Racial,yes,yes
 قصف مدفعي من قبل قوات النظام يستهدف محيط بلده بريف الغربي,News,Racial,no,no
 اله محبه والدين معامله ومحبه لم نعهد او نسمع كلمه مسيحي ومسلم في الاردن الا مءخرا نحن وان اختلفت بنا السن اخوه باله يجمعنا حب الوطن,News,Racial,no,no
 نهايه المباراه بفوز الشوط الثاني حاول التركيز اكثر علي استغلال دفاع ليفربول المتقدم مع دخول سيبايوس الفريق نجح في الوصول من خلال تلك الكرات اكثر من مره ولكن فشل لاكازيت في التسجيل حده ضغط ارسنال انخفضت في الشوط الثاني ومنحت ليفربول اريحيه هجوميه واضحه,Sports,Intelligence,no,no
 ي خي علي كثر الايكات الي متفقين انها غثيثه وتافه بغض النظر عن الايكات كثير متفقين انها تافه تابعونها ليه خلاص انفلو ترجع لمزبله السوشال ميديا تسوي مثل عشان ترجع مشاهداتها بس انتم خليتو الي م يسوي التالي من الغنم يسوي,Celebrities,Intelligence,yes,yes
 وزير الخارجيه الارميني لسكاي نيوز عربيه تركيا ترسل مرتزقه وارهابين لدعم اذربيجان والاخلال بالسلام,News,Racial,yes,yes
 من رضع من ثدي الذل دهرا راي في الحريه خرابا و شرا و في العدو ابا و وصيا محمود درويش,News,Sexual,no,no
 🚨 عبد العزيز العفالق رءيسا لرابطه دوري المحترفين السعودي خلفا لمستقيل مسلي ال معمر,News,Racial,no,no
 معتز مطر اخبار مصر مظاهرات واشتباكات ومواجاهات عنيفه ودماء وفوضي وهروب ملاين السجناء اله غالب نلتقي بعد الفاصل بعد الفاصل قتلا بالمءات في شوارع مصر وفوضي عارمه ونهب وسرقات بالجمله الحلقه النهرده مولعه يافتاح ياعليم يارزاق ياكريم تبعتلنا مصايب من مصر,News,Appearance,no,no
 عبده عطيف واحمد عينين في راس دايم,Celebrities,Racial,no,no
 عبدالمجيد الصليهم نجم لقاء لكن ماعطوه افضل لاعب خايفين ياخذ افضل لاعب اسيوي لان منحها لحمدله ماراح يستفيد,Sports,Racial,no,no
 المغزي من كلامي انه شو ما صار البلد هاي رح تضل دوله طمعانه بالقرش وزي حاله احمد رح نشوف كتير طول ما البلد ما حسنت حالها ومن وضعها وهات الي يسمع يا خال اله يرحمك ويغفرلك ويعوض اهلك ويصبرهم,News,Racial,no,no
 بعد فلسطين وقطر الكويت تعتذر عن استلام رءاسه الدوره لمجلس جامعه الدول العربيه,News,Racial,no,no
 د عبيد الوسمي اعاده النظر في قوانين الامس لريبه في سلامه اجراءتها دستوريا,News,Racial,no,no
 كيف علقت فجر السعيد علي صوم رانيا يوسف,Celebrities,Racial,no,no
 بازير تدعو الي كسر طابوهات الاعتداءات الجنسيه علي الاطفال,News,Racial,no,no
 طز فيك وطز في حصارك وطز في التطبيع وانت اضعف من انك تهد ⚔ ️ 🇶 🇦 ⚔ ️,News,Racial,yes,yes
 اول مناظره بين و بتوقيت ولايه كاليفورنيا 🇺 🇸 مساء فجر الاربعاء صباحا بتوقيت 🇸 🇦,News,Racial,no,no
 صبري فواز وهيفا وهبي بكواليس اسود فاتح,Celebrities,Racial,no,no
 الكاظمي يكلف المقرب من المالكي القاضي علاء جواد حميد الساعدي رءيسا ل‍هيءه النزاه الاتحاديه حاميها حراميها,News,Sexual,yes,yes
 سوريا بلاد الخير والخيرات بلاد لم تعرف العوز يوما لانها مكتفيه ذاتيا اين هي الان شعبها يموت جوعا اجل جوعا وانتم صامتون هل تعلمون انه منذ سته اشهر الف طفل سوري لم يذق طعم الفاكه هل تعلمون ان الجوع كافر انتم يا عرب استفيقوا انتم عرب,News,Racial,no,no
 يلعن اصله ه,Gaming,Racial,yes,yes
 استشهاد امراتين واصابه اثنين احدهم طفل بجروح اثر قصف مدفعي لمرتزقه العدوان لمنازل المواطنين في منطقه الربصه بمديريه حسبنا اله ونعم الوكيل,News,Racial,no,no
 بدايه التطبيع اول خطوه دعمنا فلسطين قلبا وقالبا حبيبي دعمكم ما بدنا اياه انتو محراك الشر في الشرق الاوسط وقناه العربيه هي بالاساس عبريه صهيونيه كيف بدها تدافع عن فلسطين برنامجها 😂 لازم ترجعوا تشربوا بول البعير عن جديد بلكي بتشربوا الرجوله واسفاه 👎 🏻,News,Racial,yes,yes
 داءما مايرد جربان العرب مقوله حلب ماديا الحقيقه ان السعوديه حلبت ترامب سياسيا اسمع واحكم 👇,News,Appearance,yes,yes
 الامين العام لام المتحده فتك بمليون شخص حول العالم مرعب وصادم لعقل,News,Racial,no,no
 شكرا والباقي كلاب وجاين جوعانين بدهم ياكلو خير البلد ولا كانهم موجودين بالازمات,News,Appearance,yes,yes
 بصوا بقا احنا معاك ياريس في محاربه اي شء اخوان ارهاب عفاريت زرق لكن ترك وزير فاشل يبوظ عيالنا ويضحك علينا لا والف لا,News,Intelligence,yes,yes
 بس ينشال الدعم عن البنزين بالكامل رح تصير التنكه ب الف اذا حسبنا الدولار صار الاف اكيد الرقم تقديري واكيد اذا علي الدولار اكتر رح تصير اغلي يعني الكوارث بعد ما بلشت زياده كل شي متصل بشكل مباشر بالمحروقات متل الكهرباء رح تصير ضرب تنين او تلاته ويمكن اكتر,News,Racial,no,no
 لطيفه التونسيه حزينه ومقهوره ومصدومه بعد قتل واغتصاب رحمه,Celebrities,Racial,no,no
 هدف وليس حلم الكل توقع انفجار يوفنتوس بالميركاتو لكن اله يلعنك يابخيل,Sports,Racial,yes,yes
 من جمله معبره عن ما حدث اليوم نتنياهو فشل في ضم الضفه فضم الامارات,News,Intelligence,yes,yes
 اطلاق نار في الهواء لتفرقه المتظاهرين علي طريق,Celebrities,Racial,no,no
 🔴 الكل يعرف انكي مثل هاتف العمله تكلمين بمقدار النقود التي توضع داخلك 😷,Celebrities,Racial,yes,yes
 رءيس ارمينيا يناشد الملك السعودي سلمان بن عبد العزيز ولي عهده محمد بن سلمان بالتدخل عبر الدور السعودي في العالم وذلك لوقف اراقه الدماء والمعاناه حيث بعث برسالتين لهما جاء فيهما مه ليس هناك حل عسكري ويمكن حل النزاع عبر المفاوضات وساءل اعلام نقلا عن وكاله ارمن برس,News,Racial,no,no
 شاهد قبل الحدف مشاهده حلقات مسلسل اسود فاتح الحلقه السادسه عشر,Celebrities,Racial,no,no
 الثور فر من حظيره البقر الثور فر وبعد فتره حدثت حادثه مثيره لم يرجع ولكن لحقت به بقيه الحظيره احمد مطر,News,Appearance,yes,yes
 خسر كثيرا في جميع الملفات التي دخلها فشل بنتيجه تربيع مع اعلي مراتب الفشل حتي في التمنيه الاقتصاديه لبلده فشل,News,Intelligence,yes,yes
 هذا كلب 🐕 بالوان نمر 🐯 صور في الفلبين 🇵 🇭 وليس له علاقه بماليزيا او بغزه او العراق ❌ ❌,News,Appearance,no,no
 هذا غثني هو وايمه الاحول,Gaming,Appearance,yes,yes
 شكرا لوفاءكم ومهما قدمت لكم يا اهل نظل مقصرون امام بطولاتكم و صمودكم ورباطكم علي ارض فلسطين المقدسه و مواجهتكم لظلم الصهيوني الاستعماري وما تقدموه من تضحيات تجعلكم انتم الاعلون و ان كان البعض يخذلكم ويتامر عليكم اصمدوا رابطوا ينصركم اله عليهم وانا معكم,News,Racial,no,no
 لادوله ولاسياده ومفتوحه امام المجهولين لايوجد سوي ارهاب الدول لتبرير لحروب وتنفيد مصالح القوي الاستعماريه,News,Racial,no,no
 عون سعد نصر اله نبيه جعجع جنبلاط باسيل وغيرهم من رءساء الكتل السياسيه ان لم يختفوا من المشهد السياسي فلن تعود لبنان نراهم منذ صغرنا يذبحون لبنان ويقطعون اشجارها وبساتينها ويحرضون الاخ علي قتل اخيه,Celebrities,Racial,yes,yes
 😂 😂 انا شفت اغبياء بس غباء مركب زي الي عند لمعه العين الرخيصه جدا ابد ماشفت,Celebrities,Intelligence,yes,yes
 ظهور عارفه عبد الرسول بالمايو يسب لها انتقادات,Celebrities,Racial,no,no
 مجموعه فاشلين ما تسوا شي,Gaming,Intelligence,yes,yes
 اخبار عربيه الشيخ نواف الاحمد الجابر الصباح يءدي اليمين الدستوريه اميرا لدوله,News,Racial,no,no
 سنه الك وما عملت شي سنه الك وما لقطت حدا من الفاسدين او الي هربوا سنه الك وبعدك مثل الماي بلا طعم وبلا لون وبلا ريحه ولك عين تهت الثوره بمقابله مع ريكاردو كلام انو انتا مديت ايدك,Celebrities,Appearance,no,yes
 قام فريق مختص من الدفاع المدني السوري اليوم الاربعاء ايلول بدفن جثتي رجلين توفيا في مدينه الباب شرقي حلب يشتبه باصابتهما بفيروس متخذا اقصي تدابير الوقايه وكان الفريق دفن اليوم صباحا جثه رجل توفي و يشتبه اصابته بالفيروس,News,Racial,no,no
 شتم بايدن قال له انت ما تكلم عن الذكاء لانك تفتقر ليه وبايدن شتم لترامب قال له اخرس رءيس يعر بصراحه 😂 😂,News,Appearance,yes,yes
 قطع الطريق في ساحه الشهداء,Celebrities,Racial,no,no
 المسلمون ليس لهم علاقه ب بلد الدعاره والشواذ المسلمون بريءين من ارتكب المجازر في البلدان العربيه وسرق ثروات الشعوب,News,Sexual,no,no
 يناس غباء مو صاحي,Gaming,Intelligence,yes,yes
 عندي احساس اني فقر ونحس علي خليفتنا هل انا فقر,News,Racial,yes,no
 جهازك الصحي فاشل وانتم تعرفون ذلك الان في المطار اكثر من مسافر فحصو منذ اكثر من ساعات ولم تظهر النتيجه وهم محتجزون لان مختبراتكم وزاراتكم وحكوماتكم فاشله,News,Intelligence,yes,yes
 خادم الحرمين الشريفين يوجه باقامه صلاه الميت الغاءب علي الراحل الشيخ صباح الجابر الصباح بالحرمين الشريفين بعد صلاه العشاء,News,Racial,no,no
 رءيس واعضاء مجلس السياده الانتقالي في ينعون امير ويصفونه بانه قاءد عربي بارز كرس حياته لخدمه امته,News,Racial,no,no
 كل ما يكون في طيران حربي اسراءيلي فوق لبنان بدو يصير في يا مصيبه يا حريق وقد ما قوي كتير والعهد قوي اكتر ما حدا بيسترجي يقول انو هي السب عم يحصدونا حصد يا يا جبان ما فيك تشكل حكومه بقي ب يا منافق مين عم بفاوض مع العدو علي ترسيم الحدود مش انتوا,News,Racial,yes,yes
